Time_H1,Hour,Session,Type,Close_Price,H1_RSI,H1_STOCH_K,H1_STOCH_D,M1_RSI_Min,M1_RSI_Max,H1_ATR,H1_ATR_High_Volatility,H1_Volume_Spike,Pattern,Divergence,H1_BB_Breakout_%
2025-10-28 11:00:00,11,London Session (08:00-15:00),Đáy,3904.58,25.24,8.5,7.81,,,24.76627,False,False,Pin Bar,Bullish Divergence,0.618
2025-10-29 00:00:00,0,Asian Session (00:00-08:00),Đáy,3933.9,39.83,64.91,76.39,,,22.87127,False,False,None,None,0.0
2025-10-29 14:00:00,14,London Session (08:00-15:00),Đỉnh,4025.43,64.32,90.07,91.47,,,20.15226,False,False,None,Bearish Divergence,0.0
2025-10-30 05:00:00,5,Asian Session (00:00-08:00),Đáy,3937.93,40.76,21.97,27.58,,,24.233,False,False,None,Bullish Divergence,0.0
2025-10-30 22:00:00,22,NY Session (15:00-24:00),Đỉnh,4024.2,62.88,96.35,89.7,,,22.38128,False,False,Pin Bar,None,0.0
2025-10-31 00:00:00,0,Asian Session (00:00-08:00),Đỉnh,4037.73,66.13,94.11,93.45,,,22.93118,False,False,None,None,0.034
2025-10-31 18:00:00,18,NY Session (15:00-24:00),Đáy,3980.61,39.97,36.2,48.96,,,21.12676,False,False,None,None,0.398
2025-11-03 02:00:00,2,Asian Session (00:00-08:00),Đáy,3970.55,37.75,23.37,34.09,,,20.30098,False,False,None,None,0.34
2025-11-03 17:00:00,17,NY Session (15:00-24:00),Đỉnh,4008.48,50.38,63.84,62.75,,,18.63222,False,True,Engulfing,None,0.0
2025-11-04 01:00:00,1,Asian Session (00:00-08:00),Đỉnh,3997.04,44.68,30.14,31.32,,,16.60246,False,False,Pin Bar,None,0.0
2025-11-04 16:00:00,16,NY Session (15:00-24:00),Đáy,3956.78,32.11,39.81,55.57,,,17.60548,False,True,None,None,0.933
2025-11-05 02:00:00,2,Asian Session (00:00-08:00),Đáy,3939.77,34.42,12.89,11.21,,,16.21324,False,False,None,None,0.0
2025-11-05 18:00:00,18,NY Session (15:00-24:00),Đỉnh,3986.72,60.5,72.33,63.46,,,15.18999,False,False,None,None,0.0
2025-11-06 03:00:00,3,Asian Session (00:00-08:00),Đáy,3976.48,51.78,43.11,49.03,,,12.74171,False,False,Pin Bar,None,0.0
2025-11-06 13:00:00,13,London Session (08:00-15:00),Đỉnh,4017.92,70.67,88.44,89.77,,,11.24075,False,False,None,Bearish Divergence,0.051
2025-11-07 01:00:00,1,Asian Session (00:00-08:00),Đáy,3989.05,50.67,33.05,32.37,,,12.51989,False,False,None,None,0.0
2025-11-07 18:00:00,18,NY Session (15:00-24:00),Đỉnh,4007.57,57.32,35.93,31.26,,,14.48686,False,True,None,Bearish Divergence,0.289
2025-11-10 01:00:00,1,Asian Session (00:00-08:00),Đáy,4011.69,59.12,49.85,48.29,,,13.29077,False,False,Engulfing,None,0.0
2025-11-10 23:00:00,23,NY Session (15:00-24:00),Đỉnh,4115.75,78.54,94.04,91.4,,,12.18442,False,False,None,None,0.0
2025-11-11 06:00:00,6,Asian Session (00:00-08:00),Đỉnh,4143.01,81.49,92.24,93.25,,,11.78032,False,False,None,Bearish Divergence,0.0
2025-11-11 17:00:00,17,NY Session (15:00-24:00),Đáy,4106.56,44.97,39.82,50.44,,,13.18851,False,True,None,None,0.243
2025-11-12 07:00:00,7,Asian Session (00:00-08:00),Đáy,4104.51,41.69,14.22,26.87,,,12.38416,False,False,None,None,0.02
2025-11-12 20:00:00,20,NY Session (15:00-24:00),Đỉnh,4206.7,77.87,95.03,94.84,,,15.95264,False,False,None,None,0.263
2025-11-13 14:00:00,14,London Session (08:00-15:00),Đỉnh,4242.44,73.08,82.89,82.81,,,15.90661,False,False,None,None,0.077
2025-11-13 20:00:00,20,NY Session (15:00-24:00),Đáy,4157.7,37.26,25.92,28.58,,,21.04118,False,False,None,None,0.605
2025-11-14 05:00:00,5,Asian Session (00:00-08:00),Đỉnh,4204.18,54.99,84.0,71.82,,,19.12299,False,False,Pin Bar,None,0.0
2025-11-14 16:00:00,16,NY Session (15:00-24:00),Đáy,4082.59,29.66,16.37,10.91,,,26.63228,True,True,None,Bullish Divergence,1.3
2025-11-17 01:00:00,1,Asian Session (00:00-08:00),Đỉnh,4096.06,37.83,64.21,54.03,,,24.06111,False,False,Pin Bar,None,0.0
2025-11-17 22:00:00,22,NY Session (15:00-24:00),Đáy,4040.8,39.34,22.11,29.45,,,23.61294,False,False,None,Bullish Divergence,0.672
2025-11-18 09:00:00,9,London Session (08:00-15:00),Đáy,4013.59,36.9,21.37,17.41,,,20.23891,False,False,Pin Bar,Bullish Divergence,0.0
2025-11-18 22:00:00,22,NY Session (15:00-24:00),Đỉnh,4069.38,55.33,85.55,84.4,,,19.51099,False,False,Engulfing,None,0.0
2025-11-19 04:00:00,4,Asian Session (00:00-08:00),Đáy,4075.54,56.12,62.89,68.42,,,17.96452,False,False,None,None,0.0
2025-11-19 17:00:00,17,NY Session (15:00-24:00),Đỉnh,4096.53,53.7,70.42,82.04,,,18.79066,False,True,None,Bearish Divergence,0.095
2025-11-20 02:00:00,2,Asian Session (00:00-08:00),Đỉnh,4102.89,56.28,51.16,39.05,,,19.03346,False,False,Pin Bar,None,0.0
2025-11-20 10:00:00,10,London Session (08:00-15:00),Đáy,4063.22,43.75,33.56,36.57,,,20.7458,False,False,Pin Bar,None,0.176
2025-11-21 10:00:00,10,London Session (08:00-15:00),Đáy,4040.9,40.66,16.07,17.46,,,20.17694,False,False,Engulfing,Bullish Divergence,0.192
2025-11-21 19:00:00,19,NY Session (15:00-24:00),Đỉnh,4085.45,56.63,84.61,84.98,,,22.51776,False,False,None,None,0.04
2025-11-24 07:00:00,7,Asian Session (00:00-08:00),Đáy,4046.25,43.62,12.97,10.7,,,19.15704,False,False,Pin Bar,None,0.0
2025-11-24 23:00:00,23,NY Session (15:00-24:00),Đỉnh,4134.54,72.42,93.15,90.79,,,15.90396,False,False,Pin Bar,None,0.056
2025-11-25 10:00:00,10,London Session (08:00-15:00),Đáy,4115.73,51.24,33.34,53.39,,,16.40807,False,False,None,None,0.0
2025-11-25 19:00:00,19,NY Session (15:00-24:00),Đỉnh,4145.95,59.18,56.85,51.6,,,18.36727,False,False,None,Bearish Divergence,0.104
2025-11-26 01:00:00,1,Asian Session (00:00-08:00),Đáy,4133.64,53.79,44.2,45.02,,,15.61465,False,False,Pin Bar,None,0.0
2025-11-26 14:00:00,14,London Session (08:00-15:00),Đỉnh,4155.07,54.36,61.64,70.2,,,14.38844,False,False,Engulfing,Bearish Divergence,0.0
2025-11-27 01:00:00,1,Asian Session (00:00-08:00),Đỉnh,4164.46,56.83,77.17,75.35,,,12.27217,False,False,Pin Bar,None,0.0
2025-11-27 06:00:00,6,Asian Session (00:00-08:00),Đáy,4150.62,47.62,14.6,21.13,,,11.67818,False,False,Pin Bar,None,0.013
2025-11-28 10:00:00,10,London Session (08:00-15:00),Đáy,4169.23,50.24,57.63,68.68,,,10.82387,False,False,Pin Bar,None,0.0
2025-11-28 20:00:00,20,NY Session (15:00-24:00),Đỉnh,4220.24,74.36,94.2,92.17,,,13.35809,False,True,Pin Bar,None,0.183
2025-12-01 01:00:00,1,Asian Session (00:00-08:00),Đáy,4221.82,74.74,88.78,92.1,,,13.66759,False,False,Pin Bar,None,0.0
2025-12-01 15:00:00,15,NY Session (15:00-24:00),Đỉnh,4247.16,63.76,71.52,78.01,,,15.04089,False,False,Pin Bar,Bearish Divergence,0.0
2025-12-02 01:00:00,1,Asian Session (00:00-08:00),Đỉnh,4227.36,48.76,31.4,36.13,,,14.99074,False,False,None,None,0.0
2025-12-02 17:00:00,17,NY Session (15:00-24:00),Đáy,4169.47,32.26,51.24,60.46,,,17.82635,False,True,None,Bullish Divergence,0.407
2025-12-03 12:00:00,12,London Session (08:00-15:00),Đáy,4200.36,44.43,18.25,19.87,,,12.73249,False,False,Pin Bar,None,0.0
2025-12-03 16:00:00,16,NY Session (15:00-24:00),Đỉnh,4212.24,50.33,65.47,57.71,,,15.10037,False,True,None,Bearish Divergence,0.23
2025-12-04 07:00:00,7,Asian Session (00:00-08:00),Đáy,4180.83,37.71,25.28,29.27,,,14.08152,False,False,None,None,0.222
2025-12-04 18:00:00,18,NY Session (15:00-24:00),Đỉnh,4215.47,57.48,78.39,71.49,,,13.73347,False,False,None,None,0.055
2025-12-05 17:00:00,17,NY Session (15:00-24:00),Đỉnh,4243.65,73.19,78.28,82.79,,,11.38444,False,True,Pin Bar,None,0.371
2025-12-05 23:00:00,23,NY Session (15:00-24:00),Đáy,4198.57,38.58,10.05,14.41,,,12.86442,False,False,Pin Bar,None,0.079
2025-12-08 08:00:00,8,London Session (08:00-15:00),Đỉnh,4216.91,53.22,90.01,79.63,,,11.63097,False,False,Pin Bar,None,0.0
2025-12-08 17:00:00,17,NY Session (15:00-24:00),Đáy,4182.79,34.46,12.67,29.91,,,12.55823,False,True,None,None,0.335
2025-12-09 08:00:00,8,London Session (08:00-15:00),Đáy,4182.06,40.27,22.74,33.0,,,10.75196,False,False,Pin Bar,Bullish Divergence,0.142
2025-12-09 18:00:00,18,NY Session (15:00-24:00),Đỉnh,4212.23,61.0,82.85,80.8,,,12.4084,False,False,Pin Bar,Bearish Divergence,0.153
2025-12-10 21:00:00,21,NY Session (15:00-24:00),Đáy,4216.36,59.56,62.24,60.74,,,11.82455,False,True,Engulfing,Bullish Divergence,0.117
2025-12-10 22:00:00,22,NY Session (15:00-24:00),Đỉnh,4229.63,65.58,69.87,64.41,,,12.93851,False,True,None,None,0.353
2025-12-11 08:00:00,8,London Session (08:00-15:00),Đáy,4214.32,51.15,24.97,38.02,,,12.89203,False,False,None,None,0.0
2025-12-11 20:00:00,20,NY Session (15:00-24:00),Đỉnh,4267.93,69.78,88.82,88.12,,,15.77241,False,False,None,Bearish Divergence,0.281
2025-12-12 16:00:00,16,NY Session (15:00-24:00),Đỉnh,4346.82,79.39,88.97,90.51,,,14.6043,False,True,Pin Bar,None,0.069
2025-12-12 18:00:00,18,NY Session (15:00-24:00),Đáy,4281.69,48.3,43.29,66.07,,,19.93672,True,True,Pin Bar,None,0.0
2025-12-15 11:00:00,11,London Session (08:00-15:00),Đỉnh,4342.3,65.63,87.66,90.24,,,14.0659,False,False,None,None,0.0
2025-12-15 18:00:00,18,NY Session (15:00-24:00),Đáy,4297.49,39.43,18.34,27.98,,,15.11402,False,True,None,None,0.163
2025-12-16 07:00:00,7,Asian Session (00:00-08:00),Đáy,4283.91,35.28,26.03,27.39,,,14.32732,False,False,Pin Bar,None,0.073
2025-12-16 17:00:00,17,NY Session (15:00-24:00),Đỉnh,4319.65,59.84,87.1,86.14,,,14.7699,False,True,Pin Bar,None,0.21
2025-12-17 01:00:00,1,Asian Session (00:00-08:00),Đáy,4307.55,52.33,36.98,45.96,,,14.29132,False,False,None,None,0.0
2025-12-17 17:00:00,17,NY Session (15:00-24:00),Đỉnh,4330.13,56.69,76.96,65.28,,,14.99894,False,True,Pin Bar,Bearish Divergence,0.149
2025-12-18 16:00:00,16,NY Session (15:00-24:00),Đáy,4328.38,50.04,50.66,38.7,,,12.69189,False,True,Pin Bar,None,0.286
2025-12-18 18:00:00,18,NY Session (15:00-24:00),Đỉnh,4360.17,67.83,73.82,65.96,,,14.66658,False,True,None,None,0.562
2025-12-19 03:00:00,3,Asian Session (00:00-08:00),Đáy,4323.11,45.64,23.01,29.88,,,14.5789,False,False,Pin Bar,None,0.123
2025-12-19 20:00:00,20,NY Session (15:00-24:00),Đỉnh,4348.48,62.46,85.75,86.93,,,11.9327,False,False,None,None,0.1
2025-12-22 01:00:00,1,Asian Session (00:00-08:00),Đáy,4355.12,64.0,67.93,64.72,,,11.31314,False,False,None,None,0.0
2025-12-22 23:00:00,23,NY Session (15:00-24:00),Đỉnh,4443.65,77.21,84.39,83.26,,,11.40625,False,False,None,Bearish Divergence,0.0
2025-12-23 17:00:00,17,NY Session (15:00-24:00),Đáy,4458.25,50.51,28.38,43.25,,,15.48975,False,True,None,None,0.096
2025-12-23 22:00:00,22,NY Session (15:00-24:00),Đỉnh,4497.34,64.04,89.18,79.02,,,14.68292,False,False,None,Bearish Divergence,0.0
2025-12-24 03:00:00,3,Asian Session (00:00-08:00),Đỉnh,4518.54,67.49,91.37,89.22,,,15.90385,False,True,None,None,0.177
2025-12-24 17:00:00,17,NY Session (15:00-24:00),Đáy,4458.27,40.66,27.2,41.2,,,17.47869,False,True,Pin Bar,None,0.321
2025-12-26 13:00:00,13,London Session (08:00-15:00),Đáy,4509.62,57.58,86.21,90.03,,,16.32758,False,False,None,None,0.0
2025-12-26 18:00:00,18,NY Session (15:00-24:00),Đỉnh,4536.2,62.88,76.23,78.98,,,17.5896,False,False,None,Bearish Divergence,0.04
